Date,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd
2015-05-06 00:00:00,235.79,14131125.0,3331977963.75,16717868.3136,34739.0,0.4081766433566434,2.0,691.0,8.583333333333334,338676.36109975824,47643398017.80344,846721.89,16.01690293,1.964778394345814,7.460367678156057,219506.0,113496.0,67857737,107858.0,57027.0,1163293.86459167,182769.0,43095033.0
2015-05-07 00:00:00,233.99,14135150.0,3307483748.5,29515495.9134,34800.0,0.3805522111801242,1.0,724.0,6.816666666666666,381306.95200742024,47643398017.80344,945553.59,16.35823476,1.9966097209835576,8.336744754011638,227324.0,113420.0,67971157,107329.0,52409.0,1369922.51817377,202393.0,47357958.0
2015-05-08 00:00:00,244.72,14138850.0,3460059372.0,21751507.9221,34859.0,0.4009522635135135,0.0,670.0,7.25,350518.1919074422,47643398017.80344,909134.8,15.86988861,1.8933707318125603,8.389561205186176,261673.0,108365.0,68079522,101732.0,52378.0,1125450.44812344,196211.0,48016735.0
2015-05-09 00:00:00,241.08,14142000.0,3409353360.0,15399809.5172,34911.0,0.4189233174603175,1.0,723.0,9.466666666666667,298414.136353633,47643398017.80344,762777.12,14.78591409,1.9731543107929672,7.726907422227176,199251.0,98717.0,68178239,92434.0,48894.0,912949.88065363,160352.0,38657753.0
2015-05-10 00:00:00,239.35,14145225.0,3385659603.75,11133114.7372,34963.0,0.4085127364341085,0.0,653.0,8.933333333333334,305519.2348382434,47643398017.80344,775494.0,15.217629800000001,2.682963089018364,8.611433140115933,213909.0,90054.0,68268293,83644.0,45762.0,995251.99259907,120762.0,28904386.0
2015-05-11 00:00:00,244.19,14148950.0,3455032100.5,15280623.914,35022.0,0.3966151879194631,2.0,726.0,8.033333333333333,352886.5580689789,47643398017.80344,913514.79,16.18034809,2.1183180091943203,8.872004253831363,215628.0,102966.0,68371259,96515.0,51015.0,1075275.17355702,176602.0,43124535.0
2015-05-12 00:00:00,241.51,14152900.0,3418066879.0,13908956.2278,35083.0,0.3906597594936709,0.0,494.0,7.55,374201.85352280975,47643398017.80344,957828.66,16.75259925,1.9212579018966365,8.370872019855973,233523.0,114424.0,68485683,109297.0,55897.0,1161665.75126715,206427.0,49854247.0
2015-05-13 00:00:00,242.72,14156950.0,3436174904.0,15320686.72,35140.0,0.35574048765432104,0.0,714.0,7.45,383675.3181689569,47643398017.80344,986656.8,15.40723591,2.140820654423468,9.083982875293467,211323.0,108615.0,68594298,101967.0,53093.0,1071140.42365866,189880.0,46087784.0
2015-05-14 00:00:00,238.32,14160450.0,3374718444.0,20818947.632000007,35193.0,0.3787343928571429,0.0,783.0,7.7,331571.26261514786,47643398017.80344,837456.48,14.19848984,1.8841423961230281,8.272972695301695,201739.0,101228.0,68695526,93903.0,51651.0,1047459.52878189,186504.0,44447621.0
2015-05-15 00:00:00,237.6,14164575.0,3365503020.0,20818947.632000007,35248.0,0.3356378909090909,0.0,758.0,7.666666666666668,390780.41665356717,47643398017.80344,983664.0,15.0815495,2.28337966114326,9.117962217978905,209999.0,107882.0,68803408,99964.0,54818.0,1014614.79123607,181310.0,43079301.0
2015-05-16 00:00:00,236.63,14167775.0,3352520598.25,8139343.9072,35300.0,0.4097718203125,2.0,653.0,8.45,303150.86867670674,47643398017.80344,760292.19,13.79618089,2.7604476826136506,8.172987798978767,236081.0,93025.0,68896433,85085.0,49016.0,744402.1925933,116394.0,27542351.0
